# spin p0 e0 inclination pos Edot_tot Ldot_tot Qdot_tot Edot_hor Edot_inf Ldot_hor Ldot_inf Qdot_hor Qdot_inf elapsed  iu iw iz
9.9999999968377229e-01 1.2237876568573285e+00 2.0000000000000001e-01 1.0000000000000000e+00 1.0590000000000000e+03 -2.1427714397665998e+00 -4.4498688292150810e+00 2.9642080984537120e-15 -2.1814013471951745e+00 3.8629907428898158e-02 -4.5338393043782581e+00 8.3970475163912775e-02 3.0201436714027634e-15 -5.5935572949414081e-17 1.8949906216546893e+04 1 4 6
9.9999999998221722e-01 1.2237312666766640e+00 2.0000000000000001e-01 1.0000000000000000e+00 1.0690000000000000e+03 -1.2881241989030165e-02 -2.3527338394301701e-02 -3.1841013370298264e-17 -5.1123413759292240e-02 3.8242171770260708e-02 -1.0663946244236039e-01 8.3112124048054029e-02 -1.4109694295835846e-16 1.0925592958806143e-16 1.4329982529747998e+04 1 4 7
9.9999999999900002e-01 1.2237178940800983e+00 2.0000000000000001e-01 1.0000000000000000e+00 1.0790000000000000e+03 -1.6037914584418160e+00 -3.3284649555179420e+00 4.4075649118178993e-15 -1.6422793934719639e+00 3.8487935030293748e-02 -3.4120834568789320e+00 8.3618501361268763e-02 4.5174921739695855e-15 -1.0992726215229770e-16 1.7465207967838971e+04 1 4 8
9.8999999999999999e-01 1.6627823949698188e+00 2.5000000000000000e-01 1.0000000000000000e+00 1.1340000000000000e+03 8.6179142004316006e-02 2.3992887929030793e-01 4.4533491923609903e-16 -7.4646788917762177e-03 9.3643820896091412e-02 -2.0687270069240048e-02 2.6061614935954242e-01 -3.8405465351430983e-17 4.8374038458752571e-16 5.2446638098498806e+02 1 5 0
9.9943765867480960e-01 1.3664337823830426e+00 2.5000000000000000e-01 1.0000000000000000e+00 1.1350000000000000e+03 7.0938496938041551e-02 1.6289773515439288e-01 -2.0768829508848962e-16 -8.4854167447674135e-03 7.9423913682807865e-02 -1.9705536453931589e-02 1.8260327160832179e-01 2.5038596261860748e-17 -2.3272689135034809e-16 6.8324499729601666e+02 1 5 1
9.9996837722339826e-01 1.2958691826424928e+00 2.5000000000000000e-01 1.0000000000000000e+00 1.1450000000000000e+03 5.0131834666839480e-02 1.1202130854379325e-01 9.3584846078921633e-17 -6.1728802388001068e-03 5.6304714905638979e-02 -1.3812302799521021e-02 1.2583361134330948e-01 -1.1548410139977805e-17 1.0513325621889730e-16 5.2264603430368006e+03 1 5 2
9.9999822172058994e-01 1.2789805809700538e+00 2.5000000000000000e-01 1.0000000000000000e+00 1.1550000000000000e+03 -2.1975953206061896e-01 -4.5455153818134592e-01 1.0026314076080093e-15 -2.6320112776497451e-01 4.3441595704379762e-02 -5.4999791712659551e-01 9.5446378945291524e-02 1.2107621234653240e-15 -2.0813071585742671e-16 1.4004175043364987e+04 1 5 3
9.9999990000000005e-01 1.2749634881792580e+00 2.5000000000000000e-01 1.0000000000000000e+00 1.1650000000000000e+03 -6.6606329222651001e-02 -1.3516967859910684e-01 1.2092388306328504e-16 -1.0595733377071231e-01 3.9351004548063444e-02 -2.2120908424955027e-01 8.6039405650453260e-02 2.0060068504400709e-16 -7.9676801980722958e-17 6.4265118041089736e+03 1 5 4
9.9999999437658671e-01 1.2740101447288064e+00 2.5000000000000000e-01 1.0000000000000000e+00 1.1390000000000000e+03 -1.5711861950502854e-03 -2.3396871558403602e-03 3.2877309532233237e-18 -3.5714129921296293e-02 3.4142943726246183e-02 -7.4612207278870302e-02 7.2272520123029468e-02 1.0804053674613383e-16 -1.0475280579290945e-16 2.4940732784050051e+03 1 5 5
9.9999999968377229e-01 1.2737840289273601e+00 2.5000000000000000e-01 1.0000000000000000e+00 1.1490000000000000e+03 5.4546062128242919e-03 1.2091102642356214e-02 -9.7903229020052183e-18 -2.7880346911373411e-02 3.3334953124197146e-02 -5.8244069864547748e-02 7.0335172506902952e-02 4.6091865566170886e-17 -5.5882188468175801e-17 2.6972597155999392e+03 1 5 6
